,id_mutation,date_mutation,prix,type_local,nb_dépendances,surface_réelle,surface_carrez,nb_pièces_principales,prix_au_m2_carrez,prix_au_m2_réel,adresse_numero,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,id_parcelle,longitude,latitude
50,2018-743627,2018-07-12,604660.0,Appartement,0.0,58.0,51.24,3.0,11801.0,10425.0,37.0,RUE DE MONTMORENCY,6517,75003.0,75103,Paris 3e Arrondissement,75,75103000AV0094,2.353829,48.863274
51,2018-743628,2018-07-12,130250.0,Appartement,0.0,25.0,15.34,1.0,8491.0,5210.0,50.0,RUE NOTRE DAME DE NAZARETH,6834,75003.0,75103,Paris 3e Arrondissement,75,75103000AB0063,2.357892,48.867749
52,2018-743628,2018-07-12,130250.0,Appartement,0.0,25.0,16.28,1.0,8001.0,5210.0,50.0,RUE NOTRE DAME DE NAZARETH,6834,75003.0,75103,Paris 3e Arrondissement,75,75103000AB0063,2.357892,48.867749
53,2018-743629,2018-07-06,600000.0,Appartement,0.0,59.0,60.06,2.0,9990.0,10169.0,3.0,RUE SAINTE APOLLINE,8538,75003.0,75103,Paris 3e Arrondissement,75,75103000AB0129,2.355071,48.86863
54,2018-743630,2018-07-05,1139200.0,Appartement,0.0,91.0,92.71,3.0,12288.0,12519.0,30.0,RUE NOTRE DAME DE NAZARETH,6834,75003.0,75103,Paris 3e Arrondissement,75,75103000AF0063,2.359542,48.867492
55,2018-743631,2018-07-02,510000.0,Appartement,0.0,45.0,21.53,2.0,23688.0,11333.0,45.0,RUE DE TURENNE,9506,75003.0,75103,Paris 3e Arrondissement,75,75103000AN0022,2.3642,48.857735
57,2018-743632,2018-07-16,1275430.0,Appartement,0.0,95.0,92.7,3.0,13759.0,13426.0,25.0,RUE DE PENTHIEVRE,7237,75008.0,75108,Paris 8e Arrondissement,75,75108000BK0038,2.315505,48.872527
59,2018-743634,2018-07-12,225000.0,Appartement,0.0,14.0,16.6,1.0,13554.0,16071.0,18.0,RUE DE LA SOURDIERE,5368,75001.0,75101,Paris 1er Arrondissement,75,75101000AZ0061,2.332391,48.865961
60,2018-743635,2018-07-16,569000.0,Appartement,0.0,46.0,50.37,3.0,11296.0,12370.0,76.0,RUE RAMBUTEAU,8009,75001.0,75101,Paris 1er Arrondissement,75,75101000AQ0135,2.34928,48.86228
63,2018-743637,2018-07-11,420588.0,Appartement,0.0,26.0,36.19,1.0,11622.0,16176.0,14.0,RUE ELZEVIR,3196,75003.0,75103,Paris 3e Arrondissement,75,75103000AO0048,2.362311,48.858615
