,id_mutation,date_mutation,prix,type_local,nb_dépendances,surface_reelle_bati,surface_carrez,nombre_pieces_principales,prix_au_m2_carrez,prix_au_m2_réel,adresse_numero,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,id_parcelle,longitude,latitude
104,2023-543677,2023-01-06,890500.0,Appartement,0.0,63.0,,2.0,,14135.0,163.0,RUE SAINT-DENIS,8525,75002.0,75102,Paris 2e Arrondissement,75,75102000AM0098,2.349927,48.865342
105,2023-543678,2023-01-04,810000.0,Appartement,1.0,30.0,35.26,1.0,22972.0,27000.0,1.0,PL DES VICTOIRES,9741,75001.0,75101,Paris 1er Arrondissement,75,75101000AV0093,2.340729,48.865463
107,2023-543679,2023-01-09,221510.0,Appartement,1.0,25.0,,1.0,,8860.0,37.0,RUE SAINT FARGEAU,8603,75020.0,75120,Paris 20e Arrondissement,75,75120000AW0064,2.402683,48.872297
109,2023-543680,2023-01-06,518000.0,Appartement,1.0,76.0,,3.0,,6816.0,32.0,RUE MANIN,5976,75019.0,75119,Paris 19e Arrondissement,75,75119000DE0009,2.389397,48.883318
113,2023-543682,2023-01-06,431500.0,Appartement,1.0,39.0,36.02,2.0,11979.0,11064.0,22.0,PAS DES RECOLLETS,8081,75010.0,75110,Paris 10e Arrondissement,75,75110000BB0041,2.360792,48.874015
114,2023-543683,2023-01-11,1905100.0,Appartement,1.0,156.0,161.17,6.0,11820.0,12212.0,4.0,RUE LAFERRIERE,5242,75009.0,75109,Paris 9e Arrondissement,75,75109000AG0032,2.338472,48.878264
117,2023-543684,2023-01-12,914400.0,Appartement,1.0,76.0,,4.0,,12032.0,34.0,RUE DE CLICHY,2116,75009.0,75109,Paris 9e Arrondissement,75,75109000AJ0039,2.330222,48.879325
120,2023-543686,2023-01-06,350200.0,Appartement,1.0,40.0,40.4,2.0,8668.0,8755.0,27.0,RUE EUGENE JUMIN,3417,75019.0,75119,Paris 19e Arrondissement,75,75119000CY0048,2.39188,48.88787
122,2023-543687,2023-01-04,191250.0,Appartement,0.0,21.0,20.3,1.0,9421.0,9107.0,5.0,RUE DE L ALSACE LORRAINE,0253,75019.0,75119,Paris 19e Arrondissement,75,75119000DE0030,2.39278,48.882581
124,2023-543688,2023-01-10,707300.0,Appartement,1.0,54.0,52.53,3.0,13465.0,13098.0,4.0,RUE DE LA TOUR D AUVERGNE,5381,75009.0,75109,Paris 9e Arrondissement,75,75109000BE0001,2.345601,48.878798
125,2023-543689,2023-01-06,625500.0,Appartement,1.0,54.0,67.95,3.0,9205.0,11583.0,7.0,RUE CAIL,1419,75010.0,75110,Paris 10e Arrondissement,75,75110000AH0010,2.360916,48.882462
127,2023-543690,2023-01-06,324000.0,Appartement,0.0,36.0,35.39,2.0,9155.0,9000.0,110.0,RUE CHAMPIONNET,1723,75018.0,75118,Paris 18e Arrondissement,75,75118000AY0070,2.339901,48.895927
130,2023-543693,2023-01-06,650000.0,Appartement,1.0,81.0,77.87,4.0,8347.0,8025.0,23.0,RUE ERNESTINE,3339,75018.0,75118,Paris 18e Arrondissement,75,75118000CF0045,2.35425,48.889935
134,2023-543694,2023-01-05,3000.0,Appartement,1.0,60.0,,3.0,,50.0,54.0,RUE ORDENER,6918,75018.0,75118,Paris 18e Arrondissement,75,75118000BG0029,2.348054,48.892065
135,2023-543695,2023-01-09,740000.0,Appartement,1.0,68.0,70.08,3.0,10559.0,10882.0,13.0,RUE DE TOCQUEVILLE,9330,75017.0,75117,Paris 17e Arrondissement,75,75117000BP0030,2.313307,48.882553
137,2023-543696,2023-01-03,112000.0,Appartement,0.0,19.0,18.03,1.0,6212.0,5895.0,109.0,RUE CHAMPIONNET,1723,75018.0,75118,Paris 18e Arrondissement,75,75118000AX0137,2.340249,48.895608
139,2023-543698,2023-01-06,170000.0,Appartement,0.0,20.0,19.06,1.0,8919.0,8500.0,12.0,RUE PRADIER,7779,75019.0,75119,Paris 19e Arrondissement,75,75119000EC0121,2.381849,48.875256
141,2023-543699,2023-01-11,407000.0,Appartement,1.0,34.0,38.81,2.0,10487.0,11971.0,5.0,PAS DELESSERT,2675,75010.0,75110,Paris 10e Arrondissement,75,75110000BS0035,2.365172,48.878782
143,2023-543700,2023-01-04,262500.0,Appartement,0.0,28.0,,1.0,,9375.0,9.0,RUE DES RONDONNEAUX,8349,75020.0,75120,Paris 20e Arrondissement,75,75120000CL0157,2.39854,48.863531
144,2023-543701,2023-01-04,480000.0,Appartement,1.0,65.0,,3.0,,7385.0,48.0,RUE DU BORREGO,1112,75020.0,75120,Paris 20e Arrondissement,75,75120000AW0023,2.402724,48.873186
147,2023-543702,2023-01-12,118000.0,Appartement,0.0,16.0,,1.0,,7375.0,144.0,RUE D AVRON,0610,75020.0,75120,Paris 20e Arrondissement,75,75120000DY0051,2.40988,48.853129
149,2023-543703,2023-01-11,275000.0,Appartement,1.0,42.0,43.91,2.0,6263.0,6548.0,1.0,RUE DUVERGIER,3063,75019.0,75119,Paris 19e Arrondissement,75,75119000AO0079,2.376709,48.888613
152,2023-543704,2023-01-11,320000.0,Appartement,1.0,32.0,,2.0,,10000.0,17.0,AV JEAN JAURES,4903,75019.0,75119,Paris 19e Arrondissement,75,75119000AR0027,2.372571,48.883749
154,2023-543706,2023-01-06,50000.0,Appartement,2.0,69.0,5.1,3.0,9804.0,725.0,49.0,RUE CUSTINE,2496,75018.0,75118,Paris 18e Arrondissement,75,75118000BK0144,2.343788,48.889295
158,2023-543707,2023-01-04,447500.0,Appartement,1.0,37.0,,2.0,,12095.0,36.0,RUE DE CHABROL,1676,75010.0,75110,Paris 10e Arrondissement,75,75110000AL0082,2.352312,48.877201
160,2023-543708,2023-01-03,290000.0,Appartement,1.0,32.0,31.98,2.0,9068.0,9062.0,43.0,CRS DE VINCENNES,9850,75020.0,75120,Paris 20e Arrondissement,75,75120000DV0018,2.403598,48.848359
163,2023-543709,2023-01-10,402500.0,Appartement,1.0,46.0,45.5,2.0,8846.0,8750.0,52.0,RUE DES POISSONNIERS,7564,75018.0,75118,Paris 18e Arrondissement,75,75118000CF0196,2.35218,48.889357
165,2023-543710,2023-01-11,665000.0,Appartement,1.0,57.0,64.95,3.0,10239.0,11667.0,22.0,RUE LEPIC,5595,75018.0,75118,Paris 18e Arrondissement,75,75118000AR0151,2.334212,48.884906
166,2023-543711,2023-01-06,308000.0,Appartement,0.0,30.0,36.6,2.0,8415.0,10267.0,8.0,RUE AUGER,0533,75020.0,75120,Paris 20e Arrondissement,75,75120000DT0017,2.399414,48.850911
168,2023-543713,2023-01-06,572634.0,Appartement,0.0,60.0,,3.0,,9544.0,74.0,RUE DES VIGNOLES,9802,75020.0,75120,Paris 20e Arrondissement,75,75120000DO0161,2.402427,48.855363
172,2023-543714,2023-01-10,710000.0,Appartement,2.0,79.0,,4.0,,8987.0,177.0,RUE LA FAYETTE,5240,75010.0,75110,Paris 10e Arrondissement,75,75110000AI0034,2.359607,48.880169
174,2023-543715,2023-01-06,160000.0,Appartement,0.0,11.0,,1.0,,14545.0,26.0,RUE DE NAVARIN,6700,75009.0,75109,Paris 9e Arrondissement,75,75109000AF0075,2.337794,48.880122
175,2023-543716,2023-01-13,579900.0,Appartement,2.0,62.0,61.51,3.0,9428.0,9353.0,11.0,BD DAVOUT,2608,75020.0,75120,Paris 20e Arrondissement,75,75120000EC0022,2.410449,48.848253
179,2023-543717,2023-01-13,662400.0,Appartement,1.0,48.0,,2.0,,13800.0,33.0,RUE DES BOURDONNAIS,1193,75001.0,75101,Paris 1er Arrondissement,75,75101000AO0131,2.34493,48.860225
180,2023-543718,2023-01-06,272000.0,Appartement,0.0,26.0,,1.0,,10462.0,20.0,RUE DU RHIN,8183,75019.0,75119,Paris 19e Arrondissement,75,75119000EN0047,2.381287,48.883993
181,2023-543719,2023-01-06,875000.0,Appartement,2.0,76.0,,3.0,,11513.0,16.0,VLA COMPOINT,2257,75017.0,75117,Paris 17e Arrondissement,75,75117000DM0181,2.324164,48.891618
186,2023-543721,2023-01-10,1180000.0,Appartement,0.0,118.0,,4.0,,10000.0,52.0,RUE RENE BOULANGER,8143,75010.0,75110,Paris 10e Arrondissement,75,75110000BG0015,2.35977,48.868921
187,2023-543722,2023-01-04,168000.0,Appartement,0.0,16.0,,1.0,,10500.0,27.0,RUE SAINTE APOLLINE,8538,75002.0,75102,Paris 2e Arrondissement,75,75102000AP0040,2.352813,48.869007
188,2023-543723,2023-01-12,85000.0,Appartement,0.0,9.0,,1.0,,9444.0,22.0,RUE DAVY,2610,75017.0,75117,Paris 17e Arrondissement,75,75117000DM0158,2.324773,48.891319
191,2023-543724,2023-01-06,2450000.0,Appartement,1.0,128.0,127.59,5.0,19202.0,19141.0,61.0,RUE DE BRETAGNE,1275,75003.0,75103,Paris 3e Arrondissement,75,75103000AI0013,2.360234,48.863965
192,2023-543725,2023-01-11,435000.0,Appartement,1.0,30.0,30.98,2.0,14041.0,14500.0,22.0,RUE CLAUZEL,2090,75009.0,75109,Paris 9e Arrondissement,75,75109000AF0101,2.33775,48.879528
194,2023-543726,2023-01-11,91080.0,Appartement,0.0,8.0,9.13,1.0,9976.0,11385.0,8.0,RUE HIPPOLYTE LEBAS,4632,75009.0,75109,Paris 9e Arrondissement,75,75109000AZ0024,2.340839,48.877167
