,id_mutation,date_mutation,prix,type_local,nombre_dependances,surface_reelle_bati,surface_carrez,nombre_pieces_principales,prix_au_m2_carrez,prix_au_m2_reel,adresse_numero,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,id_parcelle,longitude,latitude
467,2023-543894,2023-01-13,828900.0,Appartement,0.0,70.0,70.72,3.0,11721.0,11841.0,48.0,RUE LAFFITTE,5246,75009.0,75109,Paris 9e Arrondissement,75,75109000AY0136,2.338636,48.874927
468,2023-543895,2023-01-13,340000.0,Appartement,3.0,31.0,31.68,1.0,10732.0,10968.0,74.0,RUE DES GRANDS CHAMPS,4287,75020.0,75120,Paris 20e Arrondissement,75,75120000DX0064,2.404946,48.851055
472,2023-543896,2023-01-20,782608.0,Appartement,0.0,72.0,67.12,1.0,11660.0,10870.0,30.0,CRS ALBERT 1ER,0124,75008.0,75108,Paris 8e Arrondissement,75,75108000AK0032,2.305945,48.865123
475,2023-543898,2023-01-18,133475.0,Appartement,0.0,30.0,,2.0,,4449.0,40.0,RUE BERZELIUS,0930,75017.0,75117,Paris 17e Arrondissement,75,75117000DG0082,2.319478,48.89364
476,2023-543898,2023-01-18,129025.0,Appartement,1.0,29.0,,2.0,,4449.0,40.0,RUE BERZELIUS,0930,75017.0,75117,Paris 17e Arrondissement,75,75117000DG0082,2.319478,48.89364
477,2023-543899,2023-01-11,660000.0,Appartement,0.0,55.0,55.61,2.0,11868.0,12000.0,73.0,RUE SAINT-HONORE,8635,75001.0,75101,Paris 1er Arrondissement,75,75101000AT0083,2.344146,48.860863
478,2023-543900,2023-01-11,433750.0,Appartement,3.0,46.0,46.56,3.0,9316.0,9429.0,131.0,RUE MARCADET,5995,75018.0,75118,Paris 18e Arrondissement,75,75118000BK0003,2.341,48.891101
483,2023-543901,2023-01-19,454350.0,Appartement,1.0,40.0,40.08,3.0,11336.0,11359.0,71.0,RUE DE LA JONQUIERE,5273,75017.0,75117,Paris 17e Arrondissement,75,75117000DG0065,2.319949,48.894267
486,2023-543902,2023-01-09,4750000.0,Appartement,2.0,160.0,207.75,4.0,22864.0,29688.0,30.0,RUE DES FRANCS BOURGEOIS,3820,75003.0,75103,Paris 3e Arrondissement,75,75103000AO0012,2.360099,48.858229
488,2023-543903,2023-01-13,590000.0,Appartement,1.0,83.0,,3.0,,7108.0,87.0,BD NEY,6743,75018.0,75118,Paris 18e Arrondissement,75,75118000AY0001,2.338163,48.897577
490,2023-543904,2023-01-16,190000.0,Appartement,2.0,32.0,20.72,2.0,9170.0,5938.0,201.0,RUE SAINT-HONORE,8635,75001.0,75101,Paris 1er Arrondissement,75,75101000AY0114,2.331587,48.864647
492,2023-543905,2023-01-17,380000.0,Appartement,0.0,30.0,39.26,2.0,9679.0,12667.0,9.0,RUE BELIDOR,0821,75017.0,75117,Paris 17e Arrondissement,75,75117000AD0013,2.285636,48.879945
494,2023-543906,2023-01-16,539300.0,Appartement,1.0,38.0,43.35,2.0,12441.0,14192.0,14.0,RUE MARTEL,6130,75010.0,75110,Paris 10e Arrondissement,75,75110000AR0003,2.353717,48.874363
495,2023-543907,2023-01-12,1259030.0,Appartement,0.0,78.0,78.18,3.0,16104.0,16141.0,56.0,RUE DU TEMPLE,9191,75004.0,75104,Paris 4e Arrondissement,75,75104000AG0048,2.355343,48.860349
496,2023-543908,2023-01-16,535000.0,Appartement,1.0,63.0,53.1,3.0,10075.0,8492.0,152.0,RUE LA FAYETTE,5240,75010.0,75110,Paris 10e Arrondissement,75,75110000AM0088,2.35641,48.878921
498,2023-543909,2023-01-03,724250.0,Appartement,0.0,60.0,53.23,4.0,13606.0,12071.0,82.0,RUE LEGENDRE,5473,75017.0,75117,Paris 17e Arrondissement,75,75117000CP0073,2.31927,48.88691
499,2023-543910,2023-01-09,475000.0,Appartement,1.0,40.0,41.04,2.0,11574.0,11875.0,8.0,RUE MARTEL,6130,75010.0,75110,Paris 10e Arrondissement,75,75110000AR0006,2.353648,48.873924
503,2023-543912,2023-01-09,950000.0,Appartement,1.0,101.0,102.43,4.0,9275.0,9406.0,14.0,QUAI DE LA MARNE,6109,75019.0,75119,Paris 19e Arrondissement,75,75119000BA0006,2.381776,48.888828
504,2023-543913,2023-01-16,104000.0,Appartement,0.0,9.0,10.22,1.0,10176.0,11556.0,39.0,RUE DE LANCRY,5315,75010.0,75110,Paris 10e Arrondissement,75,75110000BD0063,2.361429,48.871091
505,2023-543914,2023-01-13,417280.0,Appartement,1.0,26.0,26.03,2.0,16031.0,16049.0,15.0,RUE DEBELLEYME,2616,75003.0,75103,Paris 3e Arrondissement,75,75103000AK0085,2.363117,48.861707
507,2023-543915,2023-01-16,943050.0,Appartement,1.0,63.0,46.53,1.0,20268.0,14969.0,28.0,RUE SAINT PAUL,8723,75004.0,75104,Paris 4e Arrondissement,75,75104000AQ0006,2.362401,48.8537
510,2023-543916,2023-01-13,413000.0,Appartement,1.0,42.0,43.9,2.0,9408.0,9833.0,57.0,RUE D AVRON,0610,75020.0,75120,Paris 20e Arrondissement,75,75120000DP0018,2.402635,48.852352
511,2023-543917,2023-01-12,402000.0,Appartement,0.0,37.0,37.46,2.0,10731.0,10865.0,33.0,RUE AU MAIRE,5927,75003.0,75103,Paris 3e Arrondissement,75,75103000AE0104,2.355819,48.864529
513,2023-543919,2023-01-17,344293.0,Appartement,1.0,42.0,33.75,2.0,10201.0,8197.0,57.0,RUE DES EPINETTES,3305,75017.0,75117,Paris 17e Arrondissement,75,75117000DP0030,2.323666,48.897026
519,2023-543922,2023-01-16,1760000.0,Appartement,2.0,145.0,152.03,4.0,11577.0,12138.0,120.0,RUE DE TOCQUEVILLE,9330,75017.0,75117,Paris 17e Arrondissement,75,75117000CD0031,2.306711,48.888311
521,2023-543923,2023-01-11,534000.0,Appartement,1.0,53.0,52.09,3.0,10251.0,10075.0,133.0,RUE DAMREMONT,2534,75018.0,75118,Paris 18e Arrondissement,75,75118000AF0151,2.337583,48.8964
